ftp-data,20,tcp,
ftp-control,21,tcp,
ssh,22,tcp,
telnet,23,tcp,
http,80,tcp,
https,443,tcp,
rpc,111,tcp,
sql,118,tcp,
imap,143,tcp,
ldap,389,tcp,
iSCSI,860,tcp,
oracle-db,2005,tcp,
nfs,2049,tcp,
cifs,3020,tcp,
iSCSI-target,3260,tcp,
lockd,4045,tcp,
openstack-nova,8774,tcp,
openstack-keystone,35357,tcp,
openstack-metering,8777,tcp,
openstack-neutron,9696,tcp,
openstack-glance,9292,tcp,
openstack-cinder,8776,tcp,
HDFS-Namenode-WebUI,50070,tcp,
HDFS-Secure-Namenode-WebUI,50470,tcp,
HDFS-Metadata-operations-8020,8020,tcp,
HDFS-Metadata-operations-9000,9000,tcp,
HDFS-DataNode-WebUI,50075,tcp,
HDFS-Scure-DataNode-WebUI,50475,tcp,
HDFS-DataTransfer,50010,tcp,
HDFS-DataNode-Metadata,50020,tcp,
HDFS-Secondary-NameNode,50090,tcp,
MR-JobTracker-WebUI,50030,tcp,
MR-JobTracker,8021,tcp,
MR-Tasktracket-WebUI,50060,tcp,
MR-History-WebUI,51111,tcp,
Hive-Server-Thrift,10000,tcp,
Hive-Metastore-Thrift,9083,tcp,
HBase-HMaster,60000,tcp,
HBase-Hmaster-WebUI,60010,tcp,
HBase-Region-Server,60020,tcp,
HBase-Region-Server-Http,60030,tcp,
HBase-Zookeeper,2888,tcp,
HBase-Zookeeper-Peer,3888,tcp,
HBase-Zookeeper-Client-Port,2181,tcp,
WebHCat-Server,50111,tcp,
Ganglia-Gmond-Collectors-8660,8660,tcp,
Ganglia-Gmond-Collectors-8661,8661,tcp,
Ganglia-Gmond-Collectors-8662,8662,tcp,
Ganglia-Gmond-Collectors-8663,8663,tcp,
MySQL,3306,tcp,
Snap-Mirror/Vault,10566,tcp,
CIFS/SMB,445,tcp,
Cassandra-InterNode-Cluster,7000,tcp,
Cassandra-Secure-InterNode-Cluster,7001,tcp,
Cassandra-JMX-Monitoring,7199,tcp,
Cassandra-Client,9042,tcp,
Cassandra-Client-Thrift,9160,tcp,
Cassandra-OpsCenter,8888,tcp,
Cassandra-OpsCenter-Monitoring,61620,tcp,
Cassandra-OpsCenter-Agent,61621,tcp,
VMotion-8000,8000,tcp,
LDAP,389,tcp,
LDAP-SSL,636,tcp,
iSCSI-3260,3260,tcp,
Ganglia-gmetad,8651,tcp,
Nutanix-Stargate,2009,tcp,
Nutanix-Curator,2010,tcp,
Nutanix-Chronos-Master,2011,tcp,
Nutanix-Chronos-Node,2012,tcp,
Nutanix-Transfer-Manager,2013,tcp,
Nutanix-Alert-Manager,2014,tcp,
Nutanix-Deduplication-Object-Store,2015,tcp,
Nutanix-Pithos,2016,tcp,
Nutanix-Stats Aggregator-Monitor,2017,tcp,
Nutanix-Prism Monitor-Port,2019,tcp,
Nutanix-Nutanix-Cerebro,2020,tcp,
Nutanix-Stats-Aggregator,2023,tcp,
Nutanix-Arithmos,2025,tcp,
Nutanix-Hyperint,2030,tcp,
Nutanix-Mount/NFS-RPC-service,2049,tcp,
Nutanix-Genesis,2100,tcp,
PN-fabric,23398,tcp